"Phi [deg]","dB(RealizedGainPhi) [] - Freq='3.607GHz' Theta='0deg'","dB(RealizedGainPhi) [] - Freq='4.682GHz' Theta='0deg'","dB(RealizedGainPhi) [] - Freq='5.5GHz' Theta='0deg'","dB(RealizedGainPhi) [] - Freq='6.5GHz' Theta='0deg'","dB(RealizedGainPhi) [] - Freq='7.644GHz' Theta='0deg'","dB(RealizedGainPhi) [] - Freq='8.925GHz' Theta='0deg'","dB(RealizedGainPhi) [] - Freq='9.531GHz' Theta='0deg'","dB(RealizedGainPhi) [] - Freq='10.5GHz' Theta='0deg'","dB(RealizedGainPhi) [] - Freq='11.824GHz' Theta='0deg'","dB(RealizedGainPhi) [] - Freq='13GHz' Theta='0deg'"
77,-11.8787840211971,-11.4598775872318,-10.7501211283051,-10.9273282190251,-10.4545386902146,-9.88633016847498,-10.4761511197703,-11.2040275493275,-10.3614879875572,-9.3359983634743
78,-12.5626823371243,-12.1425622241337,-11.3872614075267,-11.5963712638131,-11.1394347455327,-10.4644707091475,-11.1026468858319,-11.5752331281954,-11.0689946624426,-9.9522170450947
79,-13.3079480012668,-12.8862447006277,-12.077689775418,-12.3241431310582,-11.8857576420115,-11.085575756638,-11.780272785814,-11.9595800952346,-11.8421550482973,-10.6111543249924
80,-14.1261174892155,-13.7023020563171,-12.8306068474027,-13.1213949494775,-12.705023442657,-11.7558956538716,-12.5175240042428,-12.3570826076947,-12.6938118503666,-11.3172506383313
81,-15.0323805511016,-14.6056699549947,-13.657870082065,-14.0021852565307,-13.6123734911735,-12.4831230922716,-13.3252208012235,-12.767510757219,-13.6410516137557,-12.0750460397792
82,-16.0473063979679,-15.6164931920514,-14.5751250200709,-14.9853922642066,-14.6282698145661,-13.2768430613249,-14.2174263158852,-13.19028846207,-14.7073071496037,-12.8886523697307
83,-17.19972770683,-16.7628532487511,-15.6036100552696,-16.0972028029701,-15.7813089928289,-14.149151319963,-15.2128549243154,-13.624357163515,-15.9259473408294,-13.7606264457082
84,-18.5318608041839,-18.0855359117913,-16.773180659555,-17.3754480204643,-17.1131694412192,-15.1155006078753,-16.3371104278677,-14.0679970294762,-17.3468269066135,-14.689679865192
85,-20.109131142031,-19.6469691469701,-18.1276952772966,-18.8777193079603,-18.6879632359548,-16.1958237895531,-17.6263824077779,-14.5185982580378,-19.0493090935713,-15.6662227861868
86,-22.0410867134892,-21.5495447340238,-19.7353819887684,-20.6980642200367,-20.6116491836824,-17.415873838599,-19.1337917316426,-14.9723793943641,-21.1713526325346,-16.6642519471924
87,-24.5329192839972,-23.9777988609038,-21.7109514439927,-23.0061068710425,-23.0776859519366,-18.8082164800256,-20.9405749024845,-15.4240603718824,-23.9863597739522,-17.6285079699637
88,-28.0445839701652,-27.3108222332169,-24.2700079269341,-26.1582624582874,-26.4940487495125,-20.410271737419,-23.1749610853538,-15.8665194911304,-28.1689784226074,-18.4604291615545
