"Theta [deg]","dB(RealizedGainPhi) [] - Freq='3.607GHz' Phi='0deg'","dB(RealizedGainPhi) [] - Freq='4.682GHz' Phi='0deg'","dB(RealizedGainPhi) [] - Freq='5.5GHz' Phi='0deg'","dB(RealizedGainPhi) [] - Freq='6.5GHz' Phi='0deg'","dB(RealizedGainPhi) [] - Freq='7.644GHz' Phi='0deg'","dB(RealizedGainPhi) [] - Freq='8.925GHz' Phi='0deg'","dB(RealizedGainPhi) [] - Freq='9.531GHz' Phi='0deg'","dB(RealizedGainPhi) [] - Freq='10.5GHz' Phi='0deg'","dB(RealizedGainPhi) [] - Freq='11.824GHz' Phi='0deg'","dB(RealizedGainPhi) [] - Freq='13GHz' Phi='0deg'","dB(RealizedGainPhi) [] - Freq='13.93GHz' Phi='0deg'","dB(RealizedGainPhi) [] - Freq='14.5GHz' Phi='0deg'"
37,1.00990444938135,1.36126578538625,1.39096340642358,1.48191738038539,2.01897350726056,0.78533876386823,0.395717255928104,-4.10443091317709,0.871322359928699,-0.01785596692204,-2.01624305414017,-4.86200896564329
38,1.00672990072389,1.3545446247846,1.37995796854775,1.46466587250966,1.9944233734916,0.75245972924657,0.355185271858294,-4.17567605440336,0.760762166709781,-0.194301079270704,-2.27762098056996,-5.14701813042331
39,1.00352178654092,1.34780527291093,1.36897362464566,1.44710119155152,1.96956315533851,0.720931666526274,0.317131155919539,-4.24443465184859,0.649118635584445,-0.373524055690476,-2.54851600697433,-5.4431794681589
40,1.00028419988054,1.34106080968434,1.35802333756921,1.42923442412907,1.94447540246631,0.690733632966553,0.281488838646832,-4.31054676224527,0.537173688057439,-0.555431721996161,-2.82988172176653,-5.75128618577803
41,0.997021324095535,1.33432384676133,1.34711873994966,1.41108100258443,1.91925052399053,0.661814978338184,0.24815397197367,-4.37382654233274,0.425690332599186,-0.7400203886851,-3.1225260047563,-6.07181075100125
42,0.993737427271072,1.32760647743503,1.33627018677697,1.39266082473355,1.893984877145,0.634099783874674,0.216995743634032,-4.43405556909333,0.315365443136449,-0.927354422712456,-3.42701627345709,-6.4048370106353
43,0.990436856126282,1.32092023673713,1.32548683443878,1.37399826078499,1.86877865221912,0.607492425452376,0.187869601445602,-4.49098040110275,0.206786980008199,-1.11753242231665,-3.74359376774879,-6.75002761919381
44,0.987124029416218,1.31427607202241,1.31477674354344,1.35512205045198,1.84373363979114,0.581883957507029,0.160630024633507,-4.5443148880712,0.100399524303213,-1.31064441930765,-4.07210446164072,-7.10663253121691
45,0.983803430866165,1.30768432408238,1.30414700232408,1.33606509640279,1.81895096972077,0.557158969438423,0.135142510682127,-4.593747329686,-0.00351870292693675,-1.50672448517971,-4.41195321647233,-7.47354044553314
46,0.980479601675119,1.30115471860895,1.29360386700309,1.31686416296666,1.79452891055151,0.533202545670682,0.111294036249007,-4.6389521485387,-0.104865255345058,-1.70570347683957,-4.76208652635199,-7.84937030819425
47,0.977157132629621,1.29469636761671,1.28315291519487,1.29755949136207,1.77056081298617,0.509906964650587,0.0890013874412091,-4.67960530671124,-0.203708578938669,-1.90736651335958,-5.12100767402326,-8.23259444023975
48,0.973840655872826,1.28831778023835,1.27279920824491,1.27819434458604,1.74713327226178,0.487177799217295,0.0682169240822144,-4.71540230056167,-0.300269528076974,-2.11131928969132,-5.4868261774898,-8.6216790616899
49,0.970534836376599,1.28202688213539,1.26254745834269,1.258814496465,1.72432457211561,0.464939127502181,0.048931529923527,-4.74607725804227,-0.394891279295175,-2.31696666578163,-5.8573408224019,-9.01522286096642
50,0.967244363166904,1.27583104262004,1.25240219630174,1.23946768020665,1.70220345834744,0.443137625106134,0.0311746923574724,-4.77142148209723,-0.488000652095922,-2.52350621214959,-6.23015212679105,-9.41207102599439
